No.,Location,Price,BD,BA,sq..ft.,URL,Image,Sold,Pending,PriceChange,Listed,Days_in_Market,Days_to_Pending
1,"7213 Northridge Dr, Omaha, NE 68112","$90,000 ",2 bds,1 ba,"1,180 sqft",'https://www.zillow.com/homedetails/7213-Northridge-Dr-Omaha-NE-68112/2062552936_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/1/2024,1/26/2024,Yes,1/24/2024,8,2
2,"2921 N 120th St, Omaha, NE 68164","$270,000 ",3 bds,2 ba,"1,593 sqft",'https://www.zillow.com/homedetails/2921-N-120th-St-Omaha-NE-68164/2065147124_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/21/2024,2/12/2024,Yes,2/10/2024,11,2
3,"3262 Valley St, Omaha, NE 68105","$92,000 ",2 bds,1 ba,864 sqft,'https://www.zillow.com/homedetails/3262-Valley-St-Omaha-NE-68105/75803569_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/9/2024,2/5/2024,Yes,1/29/2024,11,7
296,"3637 Ellison Ave, Omaha, NE 68111","$168,000 ",4 bds,2 ba,"1,696 sqft",https://www.zillow.com/homedetails/3637-Ellison-Ave-Omaha-NE-68111/75805818_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,2/6/2024,No,2/3/2024,13,3
404,"11730 Roanoke Blvd, Omaha, NE 68164","$271,000 ",3 bds,3 ba,"1,834 sqft",'https://www.zillow.com/homedetails/11730-Roanoke-Blvd-Omaha-NE-68164/75796380_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,1/8/2024,No,1/4/2024,13,4
405,"11730 Roanoke Blvd, Omaha, NE 68164","$271,000 ",3 bds,3 ba,"1,834 sqft",'https://www.zillow.com/homedetails/11730-Roanoke-Blvd-Omaha-NE-68164/75796380_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,1/8/2024,No,1/4/2024,13,4
413,"6621 S 27th St, Omaha, NE 68107","$120,000 ",2 bds,1 ba,"1,408 sqft",'https://www.zillow.com/homedetails/6621-S-27th-St-Omaha-NE-68107/75838853_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,1/8/2024,No,1/3/2024,13,5
414,"6621 S 27th St, Omaha, NE 68107","$120,000 ",2 bds,1 ba,"1,408 sqft",'https://www.zillow.com/homedetails/6621-S-27th-St-Omaha-NE-68107/75838853_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,1/8/2024,No,1/3/2024,13,5
4,"14667 Sahler Ct, Omaha, NE 68116","$195,000 ",2 bds,2 ba,"1,056 sqft",'https://www.zillow.com/homedetails/14667-Sahler-Ct-Omaha-NE-68116/91919328_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,1/3/2024,Yes,1/3/2024,14,0
5,"14667 Sahler Ct, Omaha, NE 68116","$195,000 ",2 bds,2 ba,"1,056 sqft",'https://www.zillow.com/homedetails/14667-Sahler-Ct-Omaha-NE-68116/91919328_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,1/3/2024,Yes,1/3/2024,14,0
402,"2824 Ruggles St, Omaha, NE 68111","$115,000 ",4 bds,2 ba,"1,529 sqft",'https://www.zillow.com/homedetails/2824-Ruggles-St-Omaha-NE-68111/75814325_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/8/2024,2/1/2024,No,1/25/2024,14,7
403,"806 N 78th St, Omaha, NE 68114","$190,000 ",3 bds,1 ba,934 sqft,'https://www.zillow.com/homedetails/806-N-78th-St-Omaha-NE-68114/75843668_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,2/5/2024,No,2/2/2024,14,3
